episode,op_actual,category_id,generation_source,params_mutated,params_crossed,n_params_differ,ego_speed,ego_on_intersection,intersection_has_cars,distractor_cars,has_brake_checker,has_cluster,maximum_distractor_speed,distance_to_nearest,cluster_dist,brake_dist,intersection_cars,num_steps,reward_sum,pvl,failure,termination_reason
0,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,999,50.59727478027344,0.7627786795074517,,max_step
1,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,839,10.217599868774414,0.4202449530733836,,out_of_road
2,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,1000,11.588911056518555,0.195875263761729,,max_step
3,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,1000,14.120219230651855,0.28573952622339127,,max_step
4,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,488,1.6281366348266602,0.25477682035721716,,out_of_road
5,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,347,-1.4949836730957031,0.15172453228953248,,out_of_road
6,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,1000,10.88798999786377,0.1351138048705179,,max_step
7,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,622,-0.5101842880249023,0.09030802304844501,,out_of_road
8,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,516,4.232682704925537,0.21404707736999895,,out_of_road
9,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,1000,14.955822944641113,0.15200985958450475,,max_step
10,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,743,9.32425308227539,0.2601031817077166,,out_of_road
11,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,302,-1.8355717658996582,0.220816867216336,,out_of_road
12,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,1000,17.97527313232422,0.32178466868959366,,max_step
13,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,177,0.11443662643432617,0.20190940999378593,,out_of_road
14,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,1000,7.947055816650391,0.11500344760715961,,max_step
15,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,870,10.089750289916992,0.103615631352061,,out_of_road
16,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,1000,19.512065887451172,0.20353992088744416,,max_step
17,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,303,5.804642200469971,0.35979325718802735,,out_of_road
18,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,470,9.961257934570312,0.346338245835393,,out_of_road
19,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,421,4.9378767013549805,0.13633166979378944,,out_of_road
20,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,313,-2.128241777420044,0.0691801628080039,,out_of_road
21,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,248,1.7862763404846191,0.21743261377653858,,out_of_road
22,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,364,7.575473785400391,0.30945780148453356,,out_of_road
23,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,573,11.681134223937988,0.2575697732193763,,out_of_road
24,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,209,8.409282684326172,0.5936129478532732,,out_of_road
25,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,141,-0.5690932273864746,0.11150068896063042,,out_of_road
26,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,168,-0.22033190727233887,0.1001935568194659,,out_of_road
27,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,121,-0.816798210144043,0.16976743265370692,,out_of_road
