episode,op_actual,category_id,generation_source,params_mutated,params_crossed,n_params_differ,ego_on_intersection,intersection_has_cars,distractor_cars,has_brake_checker,has_cluster,maximum_distractor_speed,distance_to_nearest,cluster_dist,brake_dist,intersection_cars,num_steps,reward_sum,pvl,failure,termination_reason
0,fresh,0,fresh,,,0,0,0,1,1,1,15.0,10.0,15.0,20.0,1,999,10.721665382385254,0.1997487097978592,,max_step
1,fresh,0,fresh,,,0,1,1,2,1,0,20.0,20.0,10.0,35.0,2,1000,10.529073715209961,0.1868015892934054,,max_step
2,fresh,0,fresh,,,0,0,0,1,1,1,5.0,20.0,10.0,35.0,1,1000,16.298633575439453,0.2657954386109486,,max_step
3,fresh,0,fresh,,,0,1,0,8,1,0,5.0,5.0,10.0,20.0,3,936,4.283570289611816,0.15270523455304405,,out_of_road
4,fresh,0,fresh,,,0,0,0,8,1,1,20.0,40.0,5.0,55.0,1,462,2.626838207244873,0.21957404781092618,,out_of_road
5,fresh,0,fresh,,,0,0,0,2,1,1,15.0,5.0,10.0,55.0,0,283,-0.5926861763000488,0.19865376507540894,,crash_vehicle
6,fresh,0,fresh,,,0,0,0,0,0,0,20.0,40.0,10.0,20.0,0,484,4.701833724975586,0.2617193910231706,,out_of_road
7,fresh,0,fresh,,,0,0,0,3,1,0,20.0,5.0,5.0,20.0,0,692,10.354715347290039,0.30689468113113344,,out_of_road
8,fresh,0,fresh,,,0,1,0,18,1,1,10.0,40.0,15.0,55.0,2,509,6.941256523132324,0.3145130761845992,,out_of_road
9,fresh,0,fresh,,,0,0,0,18,1,1,20.0,10.0,15.0,35.0,2,311,2.023836135864258,0.32806305109652006,,out_of_road
10,fresh,0,fresh,,,0,0,0,1,0,1,15.0,20.0,10.0,10.0,1,114,-5.444664001464844,0.010831223964168314,,out_of_road
11,fresh,0,fresh,,,0,0,0,4,0,1,15.0,5.0,15.0,10.0,2,1000,22.856674194335938,0.29629418553225695,,max_step
12,fresh,0,fresh,,,0,1,0,8,1,1,10.0,5.0,10.0,20.0,2,169,0.23592233657836914,0.2838220849809562,,crash_vehicle
13,fresh,0,fresh,,,0,0,0,1,1,0,15.0,40.0,10.0,55.0,1,2,10.0,9.32003402709961,,arrive_dest
14,fresh,0,fresh,,,0,1,0,4,0,1,5.0,20.0,15.0,20.0,2,738,19.33241081237793,0.44536967334769123,,out_of_road
15,fresh,0,fresh,,,0,1,0,8,0,1,5.0,5.0,10.0,55.0,2,410,3.4516658782958984,0.19377795474649204,,out_of_road
16,fresh,0,fresh,,,0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,137,0.38022899627685547,0.3958330162032677,rejection_fallback,out_of_road
17,fresh,0,fresh,,,0,1,0,5,1,1,20.0,40.0,5.0,55.0,0,264,4.04105281829834,0.424646554578265,,out_of_road
18,fresh,0,fresh,,,0,0,0,1,1,1,20.0,20.0,15.0,35.0,1,924,28.027565002441406,0.48327272502278096,,out_of_road
19,fresh,0,fresh,,,0,0,0,0,0,0,20.0,5.0,15.0,55.0,0,228,19.10384178161621,1.3996839450116743,,arrive_dest
20,fresh,0,fresh,,,0,0,0,0,1,0,15.0,20.0,5.0,35.0,0,463,-6.992942810058594,0.10103103104922478,,out_of_road
21,fresh,0,fresh,,,0,0,0,12,0,1,10.0,10.0,5.0,10.0,1,1000,24.754161834716797,0.34145583844790234,,max_step
22,fresh,0,fresh,,,0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,90,-3.213639259338379,0.16504371309032043,rejection_fallback,out_of_road
23,fresh,0,fresh,,,0,0,0,4,1,0,15.0,10.0,10.0,20.0,1,294,6.563794136047363,0.5883778645752036,,crash_vehicle
24,fresh,0,fresh,,,0,1,1,1,0,1,10.0,20.0,5.0,20.0,1,297,6.719089508056641,0.43520128435803335,,out_of_road
25,fresh,0,fresh,,,0,0,0,12,1,0,20.0,10.0,5.0,20.0,1,198,2.4238181114196777,0.3638297634556739,,out_of_road
26,crossover,0,crossover,,has_brake_checker|maximum_distractor_speed|distance_to_nearest|brake_dist,2,0,0,3,1,0,20.0,40.0,5.0,55.0,0,271,7.886019706726074,0.535899646360276,,out_of_road
27,fresh,0,fresh,,,0,0,0,0,0,0,5.0,20.0,5.0,20.0,0,189,0.7061724662780762,0.4564466841479458,,out_of_road
28,mutation,0,mutation,brake_dist,,0,0,0,12,0,1,10.0,10.0,5.0,10.0,1,83,1.8352551460266113,0.3860792998807976,,crash_vehicle
29,fresh,0,fresh,,,0,1,1,1,0,0,10.0,20.0,15.0,10.0,1,138,0.632328987121582,0.33959676660057425,,out_of_road
30,crossover,0,crossover,,select_lane|ego_on_intersection|intersection_has_cars|intersection_cars|has_cluster|maximum_distractor_speed|distance_to_nearest|cluster_dist|brake_dist,6,0,0,1,1,1,20.0,20.0,15.0,35.0,1,182,4.694533348083496,0.5320297906912126,,out_of_road
31,fresh,0,fresh,,,0,1,0,5,0,0,10.0,10.0,5.0,10.0,1,138,-1.0150585174560547,0.2915838155085626,,out_of_road
32,crossover,0,crossover,,intersection_cars|maximum_distractor_speed|distance_to_nearest|brake_dist,3,0,0,0,0,0,5.0,5.0,10.0,55.0,0,165,3.853984832763672,0.5506809511419498,,out_of_road
33,fresh,0,fresh,,,0,0,0,8,1,1,20.0,5.0,15.0,55.0,0,109,-0.0373988151550293,0.24675585602948424,,crash_vehicle
34,replay,0,replay,,,0,0,0,8,1,1,20.0,5.0,15.0,55.0,0,304,22.58132553100586,1.1959407329559326,,arrive_dest
35,fresh,0,fresh,,,0,1,1,1,1,1,10.0,20.0,15.0,35.0,1,227,2.9509472846984863,0.3427977615040173,,out_of_road
36,crossover,0,crossover,,select_lane|ego_on_intersection|intersection_has_cars|distractor_cars|intersection_cars|has_cluster|distance_to_nearest|brake_dist,5,0,0,1,0,0,10.0,40.0,5.0,55.0,1,120,-0.37157678604125977,0.19873681521664063,,out_of_road
37,fresh,0,fresh,,,0,0,0,1,1,0,15.0,40.0,10.0,55.0,1,338,5.0202484130859375,0.27640216811642754,,out_of_road
38,crossover,0,crossover,,select_lane|ego_on_intersection|intersection_has_cars|has_brake_checker|intersection_cars|has_cluster|brake_dist,3,0,0,0,1,0,5.0,5.0,10.0,20.0,0,1000,33.49775695800781,0.44384320079535244,,max_step
39,fresh,0,fresh,,,0,1,0,2,0,1,20.0,10.0,15.0,20.0,0,745,22.04773712158203,0.4719637857475037,,out_of_road
40,replay,0,replay,,,0,1,0,2,0,1,20.0,10.0,15.0,20.0,0,2,10.0,9.762872695922852,,arrive_dest
41,fresh,0,fresh,,,0,0,0,3,0,1,20.0,10.0,15.0,35.0,0,675,19.194446563720703,0.45120638280831,,crash_vehicle
