episode,op_actual,category_id,generation_source,params_mutated,params_crossed,n_params_differ,ego_on_intersection,intersection_has_cars,distractor_cars,has_brake_checker,has_cluster,maximum_distractor_speed,distance_to_nearest,cluster_dist,brake_dist,intersection_cars,num_steps,reward_sum,pvl,failure,termination_reason
0,fresh,0,fresh,,,0,0,0,1,1,1,15.0,10.0,15.0,20.0,1,999,10.721665382385254,0.1997487097978592,,max_step
1,fresh,1,fresh,,,0,1,1,2,1,0,20.0,20.0,10.0,35.0,2,1000,10.529073715209961,0.1868015892934054,,max_step
2,fresh,0,fresh,,,0,0,0,1,1,1,5.0,20.0,10.0,35.0,1,1000,16.298633575439453,0.2657954386109486,,max_step
3,fresh,4,fresh,,,0,1,0,8,1,0,5.0,5.0,10.0,20.0,3,936,4.283570289611816,0.15270523455304405,,out_of_road
4,fresh,4,fresh,,,0,0,0,8,1,1,20.0,40.0,5.0,55.0,1,462,2.626838207244873,0.21957404781092618,,out_of_road
5,fresh,1,fresh,,,0,0,0,2,1,1,15.0,5.0,10.0,55.0,0,283,-0.5926861763000488,0.19865376507540894,,crash_vehicle
6,fresh,0,fresh,,,0,0,0,0,0,0,20.0,40.0,10.0,20.0,0,484,4.701833724975586,0.2617193910231706,,out_of_road
7,fresh,2,fresh,,,0,0,0,3,1,0,20.0,5.0,5.0,20.0,0,692,10.354715347290039,0.30689468113113344,,out_of_road
8,fresh,6,fresh,,,0,1,0,18,1,1,10.0,40.0,15.0,55.0,2,509,6.941256523132324,0.3145130761845992,,out_of_road
9,fresh,6,fresh,,,0,0,0,18,1,1,20.0,10.0,15.0,35.0,2,311,2.023836135864258,0.32806305109652006,,out_of_road
10,fresh,0,fresh,,,0,0,0,1,0,1,15.0,20.0,10.0,10.0,1,114,-5.444664001464844,0.010831223964168314,,out_of_road
11,fresh,3,fresh,,,0,0,0,4,0,1,15.0,5.0,15.0,10.0,2,1000,22.856674194335938,0.29629418553225695,,max_step
12,fresh,4,fresh,,,0,1,0,8,1,1,10.0,5.0,10.0,20.0,2,169,0.23592233657836914,0.2838220849809562,,crash_vehicle
13,fresh,0,fresh,,,0,0,0,1,1,0,15.0,40.0,10.0,55.0,1,2,10.0,9.32003402709961,,arrive_dest
14,fresh,3,fresh,,,0,1,0,4,0,1,5.0,20.0,15.0,20.0,2,738,19.33241081237793,0.44536967334769123,,out_of_road
15,fresh,4,fresh,,,0,1,0,8,0,1,5.0,5.0,10.0,55.0,2,410,3.4516658782958984,0.19377795474649204,,out_of_road
16,fresh,0,fresh,,,0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,137,0.38022899627685547,0.3958330162032677,rejection_fallback,out_of_road
17,fresh,3,fresh,,,0,1,0,5,1,1,20.0,40.0,5.0,55.0,0,264,4.04105281829834,0.424646554578265,,out_of_road
18,fresh,0,fresh,,,0,0,0,1,1,1,20.0,20.0,15.0,35.0,1,924,28.027565002441406,0.48327272502278096,,out_of_road
19,fresh,0,fresh,,,0,0,0,0,0,0,20.0,5.0,15.0,55.0,0,228,19.10384178161621,1.3996839450116743,,arrive_dest
20,fresh,0,fresh,,,0,0,0,0,1,0,15.0,20.0,5.0,35.0,0,463,-6.992942810058594,0.10103103104922478,,out_of_road
21,fresh,5,fresh,,,0,0,0,12,0,1,10.0,10.0,5.0,10.0,1,1000,24.754161834716797,0.34145583844790234,,max_step
22,fresh,0,fresh,,,0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,90,-3.213639259338379,0.16504371309032043,rejection_fallback,out_of_road
23,fresh,3,fresh,,,0,0,0,4,1,0,15.0,10.0,10.0,20.0,1,294,6.563794136047363,0.5883778645752036,,crash_vehicle
24,fresh,0,fresh,,,0,1,1,1,0,1,10.0,20.0,5.0,20.0,1,297,6.719089508056641,0.43520128435803335,,out_of_road
25,fresh,5,fresh,,,0,0,0,12,1,0,20.0,10.0,5.0,20.0,1,198,2.4238181114196777,0.3638297634556739,,out_of_road
26,crossover,0,crossover,,has_brake_checker|maximum_distractor_speed|distance_to_nearest|brake_dist,0,0,0,1,1,0,15.0,40.0,10.0,55.0,1,273,7.9234514236450195,0.5352981044150098,,out_of_road
27,fresh,2,fresh,,,0,0,0,3,1,0,5.0,5.0,5.0,35.0,3,409,15.894363403320312,0.6163962665116437,,out_of_road
28,replay,2,replay,,,0,0,0,3,1,0,5.0,5.0,5.0,35.0,3,180,4.371830940246582,0.5298264916468826,,out_of_road
29,fresh,0,fresh,,,0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,1000,41.596641540527344,0.6119970142529346,rejection_fallback,max_step
30,replay,0,replay,,,0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,50,-0.40941619873046875,0.4808886182308197,,crash_vehicle
